Threshold,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,False Positive Rate,F1,F2,MCC,TN,FP,FN,TP,Model,Threshold Selection,Repeat,Fold,Selected Threshold,Test Size,Test Legitimate,Test Phishing
0.84,0.6990740740740741,0.7324026216230617,0.96,0.6892950391644909,0.7755102040816326,0.22448979591836735,0.8024316109422492,0.7304925290536801,0.3064448113338201,76,22,238,528,XGBoost — URL-Only Features,Validation-selected threshold,1,5,0.84,864,98,766
0.5,0.8963133640552995,0.5942486085343228,0.9066985645933014,0.9844155844155844,0.20408163265306123,0.7959183673469388,0.9439601494396015,0.9678243105209398,0.3165812687845427,20,78,12,758,XGBoost — Full 16 Features,Default threshold,2,1,0.91,868,98,770
0.91,0.7131336405529954,0.7848794063079777,0.9779816513761468,0.6922077922077922,0.8775510204081632,0.12244897959183673,0.8106463878326996,0.7351724137931035,0.37303530749819463,86,12,237,533,XGBoost — Full 16 Features,Validation-selected threshold,2,1,0.91,868,98,770
0.5,0.8859447004608295,0.4993506493506494,0.8869665513264129,0.9987012987012988,0.0,1.0,0.9395235186316433,0.9741575880415505,-0.012115968248104405,0,98,1,769,XGBoost — URL-Only Features,Default threshold,2,1,0.9,868,98,770
0.9,0.684331797235023,0.8042671614100185,0.9920634920634921,0.6493506493506493,0.9591836734693877,0.04081632653061224,0.7849293563579278,0.6975446428571429,0.3902810986876067,94,4,270,500,XGBoost — URL-Only Features,Validation-selected threshold,2,1,0.9,868,98,770
0.5,0.8757062146892656,0.5585554888190722,0.8868144690781797,0.9831824062095731,0.13392857142857142,0.8660714285714286,0.9325153374233128,0.962268928842745,0.22244719722660805,15,97,13,760,XGBoost — Full 16 Features,Default threshold,2,2,0.96,885,112,773
0.96,0.6677966101694915,0.794562003326557,0.9917864476386037,0.6248382923673997,0.9642857142857143,0.03571428571428571,0.7666666666666667,0.6747694886839899,0.39373086607378893,108,4,290,483,XGBoost — Full 16 Features,Validation-selected threshold,2,2,0.96,885,112,773
0.5,0.8734463276836159,0.5,0.8734463276836159,1.0,0.0,1.0,0.9324487334137516,0.9718380688961529,0.0,0,112,0,773,XGBoost — URL-Only Features,Default threshold,2,2,0.86,885,112,773
0.86,0.6632768361581921,0.7881572260210682,0.9896907216494846,0.6209573091849935,0.9553571428571429,0.044642857142857144,0.7631160572337043,0.6709533128319821,0.3849970517000673,107,5,293,480,XGBoost — URL-Only Features,Validation-selected threshold,2,2,0.86,885,112,773
0.5,0.9150401836969001,0.6060065175529551,0.9207100591715977,0.9910828025477707,0.22093023255813954,0.7790697674418605,0.9546012269938651,0.9761606022584692,0.3716478192711459,19,67,7,778,XGBoost — Full 16 Features,Default threshold,2,3,0.88,871,86,785
0.88,0.7623421354764638,0.7853206932306325,0.9737704918032787,0.756687898089172,0.813953488372093,0.18604651162790697,0.8516129032258064,0.792,0.3715884008580516,70,16,191,594,XGBoost — Full 16 Features,Validation-selected threshold,2,3,0.88,871,86,785
0.5,0.9001148105625718,0.49936305732484076,0.9011494252873563,0.9987261146496815,0.0,1.0,0.9474320241691843,0.9775561097256857,-0.01122159966301589,0,86,1,784,XGBoost — URL-Only Features,Default threshold,2,3,0.97,871,86,785
