Model,Threshold Selection,Repeat,Fold,Prevalence,Recall,Specificity,False Positive Rate,Expected TP per 1M URLs,Expected FP per 1M URLs,Expected FN per 1M URLs,Expected TN per 1M URLs,Expected Alerts per 1M URLs,Projected Precision
XGBoost — Full 16 Features,Default threshold,1,3,0.001,0.9921052631578947,0.1694915254237288,0.8305084745762712,992.1052631578947,829677.966101695,7.894736842105288,169322.0338983051,830670.0713648528,0.0011943433348065517
XGBoost — Full 16 Features,Validation-selected threshold,1,3,0.5,0.7368421052631579,0.8305084745762712,0.1694915254237288,368421.05263157893,84745.7627118644,131578.94736842107,415254.23728813557,453166.8153434433,0.8129921259842521
XGBoost — Full 16 Features,Validation-selected threshold,1,3,0.1,0.7368421052631579,0.8305084745762712,0.1694915254237288,73684.21052631579,152542.37288135593,26315.789473684214,747457.6271186441,226226.58340767171,0.3257097791798107
XGBoost — Full 16 Features,Validation-selected threshold,1,3,0.05,0.7368421052631579,0.8305084745762712,0.1694915254237288,36842.10526315789,161016.94915254237,13157.894736842107,788983.0508474576,197859.05441570026,0.18620378719567177
XGBoost — Full 16 Features,Validation-selected threshold,1,3,0.01,0.7368421052631579,0.8305084745762712,0.1694915254237288,7368.421052631578,167796.61016949153,2631.5789473684213,822203.3898305085,175165.0312221231,0.042065593807292724
XGBoost — Full 16 Features,Validation-selected threshold,1,3,0.005,0.7368421052631579,0.8305084745762712,0.1694915254237288,3684.210526315789,168644.06779661015,1315.7894736842106,826355.9322033898,172328.27832292594,0.021379024743762295
XGBoost — Full 16 Features,Validation-selected threshold,1,3,0.001,0.7368421052631579,0.8305084745762712,0.1694915254237288,736.8421052631578,169322.0338983051,263.15789473684214,829677.966101695,170058.87600356824,0.004332864726494471
XGBoost — URL-Only Features,Default threshold,1,3,0.5,0.9986842105263158,0.0,1.0,499342.1052631579,500000.0,657.8947368420795,0.0,999342.105263158,0.49967083607636603
XGBoost — URL-Only Features,Default threshold,1,3,0.1,0.9986842105263158,0.0,1.0,99868.42105263159,900000.0,131.57894736841592,0.0,999868.4210526316,0.09988156336360049
XGBoost — URL-Only Features,Default threshold,1,3,0.05,0.9986842105263158,0.0,1.0,49934.210526315794,950000.0,65.78947368420796,0.0,999934.2105263158,0.04993749588788736
XGBoost — URL-Only Features,Default threshold,1,3,0.01,0.9986842105263158,0.0,1.0,9986.842105263158,990000.0,13.157894736841591,0.0,999986.8421052631,0.00998697351280938
XGBoost — URL-Only Features,Default threshold,1,3,0.005,0.9986842105263158,0.0,1.0,4993.421052631579,995000.0,6.5789473684207955,0.0,999993.4210526316,0.004993453904302002
XGBoost — URL-Only Features,Default threshold,1,3,0.001,0.9986842105263158,0.0,1.0,998.6842105263158,999000.0,1.315789473684159,0.0,999998.6842105263,0.0009986855245862167
XGBoost — URL-Only Features,Validation-selected threshold,1,3,0.5,0.6513157894736842,0.9661016949152542,0.03389830508474578,325657.8947368421,16949.152542372893,174342.10526315792,483050.8474576271,342607.04727921495,0.9505288852725794
XGBoost — URL-Only Features,Validation-selected threshold,1,3,0.1,0.6513157894736842,0.9661016949152542,0.03389830508474578,65131.57894736842,30508.474576271205,34868.42105263158,869491.5254237287,95640.05352363962,0.6810073452256032
XGBoost — URL-Only Features,Validation-selected threshold,1,3,0.05,0.6513157894736842,0.9661016949152542,0.03389830508474578,32565.78947368421,32203.389830508495,17434.21052631579,917796.6101694915,64769.1793041927,0.5027976241714727
XGBoost — URL-Only Features,Validation-selected threshold,1,3,0.01,0.6513157894736842,0.9661016949152542,0.03389830508474578,6513.157894736842,33559.32203389832,3486.8421052631584,956440.6779661017,40072.47992863516,0.1625344352617079
XGBoost — URL-Only Features,Validation-selected threshold,1,3,0.005,0.6513157894736842,0.9661016949152542,0.03389830508474578,3256.578947368421,33728.81355932206,1743.4210526315792,961271.186440678,36985.39250669048,0.08805040927385917
XGBoost — URL-Only Features,Validation-selected threshold,1,3,0.001,0.6513157894736842,0.9661016949152542,0.03389830508474578,651.3157894736842,33864.40677966104,348.68421052631584,965135.5932203389,34515.72256913473,0.018870118919547568
